,x,y
0,2.910,0.683
1,3.320,0.683
2,3.420,0.683
3,3.630,0.683
4,4.190,0.684
5,4.500,0.684
6,4.550,0.684
7,5.320,0.684
8,5.420,0.684
9,5.780,0.684
10,6.290,0.692
11,6.461,0.712
12,6.514,0.721
13,6.704,0.800
14,6.836,0.882
15,6.992,1.006
16,7.114,1.169
17,7.166,1.263
18,7.280,1.763
19,7.273,1.813
20,7.266,1.862
21,7.105,2.301
22,7.012,2.419
23,6.727,2.647
24,6.537,2.727
25,6.080,2.773
26,5.920,2.772
27,5.720,2.770
28,5.670,2.770
29,5.200,2.766
30,5.050,2.765
31,5.002,2.769
32,4.943,2.775
33,4.561,2.898
34,4.259,3.167
35,4.093,3.370
36,4.001,3.483
37,3.774,3.761
38,3.682,3.874
39,3.549,4.037
40,3.276,4.333
41,3.191,4.386
42,3.095,4.436
43,2.955,4.484
44,2.809,4.500
45,2.811,4.500
46,2.500,4.499
47,2.249,4.491
48,1.990,4.484
49,1.740,4.477
50,1.187,4.392
51,1.105,4.340
52,0.732,3.820
53,0.708,3.530
54,0.875,2.725
55,0.886,2.669
56,0.918,2.516
57,0.938,2.420
58,1.021,2.018
59,1.043,1.913
60,1.094,1.669
61,1.220,1.170
62,1.240,1.118
63,1.287,1.027
64,1.320,0.990
65,1.390,0.910
66,1.456,0.844
67,1.500,0.819
68,2.040,0.683
69,2.750,0.683
70,2.910,0.683
